year_month,direction,sex,age,estimate
2018-05,Departures,Male,70-74 years,46.154
2018-06,Departures,Male,70-74 years,27.106
2018-07,Departures,Male,70-74 years,28.68
2018-08,Departures,Male,70-74 years,28.518
2018-09,Departures,Male,70-74 years,32.654
2018-10,Departures,Male,70-74 years,52.766
2018-11,Departures,Male,70-74 years,54.544
2018-12,Departures,Male,70-74 years,51.328
2019-01,Departures,Male,70-74 years,39.168
2019-02,Departures,Male,70-74 years,47.172
2019-03,Departures,Male,70-74 years,48.956
2019-04,Departures,Male,70-74 years,51.88
2019-05,Departures,Male,70-74 years,66.612
2018-01,Departures,Female,75-79 years,13
2018-02,Departures,Female,75-79 years,21
2018-03,Departures,Female,75-79 years,24.15
2018-04,Departures,Female,75-79 years,21.072
2018-05,Departures,Female,75-79 years,32.752
2018-06,Departures,Female,75-79 years,24.986
2018-07,Departures,Female,75-79 years,15.99
2018-08,Departures,Female,75-79 years,17.292
2018-09,Departures,Female,75-79 years,17.418
2018-10,Departures,Female,75-79 years,29.704
2018-11,Departures,Female,75-79 years,27.24
2018-12,Departures,Female,75-79 years,33.512
2019-01,Departures,Female,75-79 years,20.064
2019-02,Departures,Female,75-79 years,22.382
2019-03,Departures,Female,75-79 years,29.384
2019-04,Departures,Female,75-79 years,23.966
2019-05,Departures,Female,75-79 years,30.726
2018-01,Departures,Male,75-79 years,18
2018-02,Departures,Male,75-79 years,17
2018-03,Departures,Male,75-79 years,23.97
2018-04,Departures,Male,75-79 years,23.632
2018-05,Departures,Male,75-79 years,24.21
2018-06,Departures,Male,75-79 years,17.53
2018-07,Departures,Male,75-79 years,16.456
2018-08,Departures,Male,75-79 years,15.992
2018-09,Departures,Male,75-79 years,8.248
2018-10,Departures,Male,75-79 years,24.562
2018-11,Departures,Male,75-79 years,27.888
2018-12,Departures,Male,75-79 years,31.168
2019-01,Departures,Male,75-79 years,17.304
2019-02,Departures,Male,75-79 years,26.684
2019-03,Departures,Male,75-79 years,27.732
2019-04,Departures,Male,75-79 years,27.56
2019-05,Departures,Male,75-79 years,34.31
2018-01,Departures,Female,80-84 years,8
2018-02,Departures,Female,80-84 years,7
2018-03,Departures,Female,80-84 years,11
2018-04,Departures,Female,80-84 years,11.206
2018-05,Departures,Female,80-84 years,16.6
2018-06,Departures,Female,80-84 years,10.338
2018-07,Departures,Female,80-84 years,5.886
2018-08,Departures,Female,80-84 years,16.192
2018-09,Departures,Female,80-84 years,8.38
2018-10,Departures,Female,80-84 years,16.756
2018-11,Departures,Female,80-84 years,18.552
2018-12,Departures,Female,80-84 years,20.368
2019-01,Departures,Female,80-84 years,12.018
2019-02,Departures,Female,80-84 years,9.772
2019-03,Departures,Female,80-84 years,13.018
2019-04,Departures,Female,80-84 years,11.858
2019-05,Departures,Female,80-84 years,15.508
2018-01,Departures,Male,80-84 years,6
2018-02,Departures,Male,80-84 years,3
2018-03,Departures,Male,80-84 years,15
2018-04,Departures,Male,80-84 years,13.854
2018-05,Departures,Male,80-84 years,15.796
2018-06,Departures,Male,80-84 years,14.374
2018-07,Departures,Male,80-84 years,9.336
2018-08,Departures,Male,80-84 years,12.224
2018-09,Departures,Male,80-84 years,8.964
2018-10,Departures,Male,80-84 years,14.572
2018-11,Departures,Male,80-84 years,17.924
2018-12,Departures,Male,80-84 years,17.862
2019-01,Departures,Male,80-84 years,8.688
2019-02,Departures,Male,80-84 years,9.45
2019-03,Departures,Male,80-84 years,12.42
2019-04,Departures,Male,80-84 years,11.876
2019-05,Departures,Male,80-84 years,16.69
2018-01,Departures,Female,85-89 years,7
2018-02,Departures,Female,85-89 years,2
2018-03,Departures,Female,85-89 years,6
2018-04,Departures,Female,85-89 years,4
2018-05,Departures,Female,85-89 years,9.48
2018-06,Departures,Female,85-89 years,9.07
2018-07,Departures,Female,85-89 years,5.392
2018-08,Departures,Female,85-89 years,2.404
2018-09,Departures,Female,85-89 years,8.47
2018-10,Departures,Female,85-89 years,3.376
2018-11,Departures,Female,85-89 years,6.806
2018-12,Departures,Female,85-89 years,12.364
2019-01,Departures,Female,85-89 years,2.976
2019-02,Departures,Female,85-89 years,5.84
2019-03,Departures,Female,85-89 years,5.1
2019-04,Departures,Female,85-89 years,4.416
2019-05,Departures,Female,85-89 years,6.586
2018-01,Departures,Male,85-89 years,1
2018-02,Departures,Male,85-89 years,3
2018-03,Departures,Male,85-89 years,3
2018-04,Departures,Male,85-89 years,5
2018-05,Departures,Male,85-89 years,3.732
2018-06,Departures,Male,85-89 years,4.482
2018-07,Departures,Male,85-89 years,5.356
2018-08,Departures,Male,85-89 years,2.132
2018-09,Departures,Male,85-89 years,6.25
2018-10,Departures,Male,85-89 years,7.404
2018-11,Departures,Male,85-89 years,6.262
2018-12,Departures,Male,85-89 years,8.836
2019-01,Departures,Male,85-89 years,1.068
2019-02,Departures,Male,85-89 years,2.96
2019-03,Departures,Male,85-89 years,3.936
2019-04,Departures,Male,85-89 years,5.398
2019-05,Departures,Male,85-89 years,7.404
2018-01,Departures,Female,90+ years,2
2018-02,Departures,Female,90+ years,1
2018-03,Departures,Female,90+ years,3
2018-04,Departures,Female,90+ years,1
2018-05,Departures,Female,90+ years,3.808
2018-06,Departures,Female,90+ years,1
2018-07,Departures,Female,90+ years,0.796
2018-08,Departures,Female,90+ years,2.124
2018-09,Departures,Female,90+ years,2.07
2018-10,Departures,Female,90+ years,1.234
2018-11,Departures,Female,90+ years,2.708
2018-12,Departures,Female,90+ years,1.158
2019-01,Departures,Female,90+ years,3.144
2019-02,Departures,Female,90+ years,1.584
2019-03,Departures,Female,90+ years,2.27
2019-04,Departures,Female,90+ years,1.576
2019-05,Departures,Female,90+ years,3.058
2018-01,Departures,Male,90+ years,1
2018-02,Departures,Male,90+ years,1
2018-04,Departures,Male,90+ years,1.784
2018-05,Departures,Male,90+ years,1
2018-06,Departures,Male,90+ years,2
2018-07,Departures,Male,90+ years,1
2018-08,Departures,Male,90+ years,1.904
2018-09,Departures,Male,90+ years,1.536
2018-10,Departures,Male,90+ years,0.272
2018-11,Departures,Male,90+ years,0.03
2018-12,Departures,Male,90+ years,0.908
2019-01,Departures,Male,90+ years,1.52
2019-02,Departures,Male,90+ years,1.662
2019-03,Departures,Male,90+ years,2.128
2019-04,Departures,Male,90+ years,1.048
2019-05,Departures,Male,90+ years,2.298
2017-12,Arrivals,Female,0-4 years,529
2018-01,Arrivals,Female,0-4 years,444.982
2018-02,Arrivals,Female,0-4 years,308.594
2018-03,Arrivals,Female,0-4 years,406.128
2018-04,Arrivals,Female,0-4 years,301.246
2018-05,Arrivals,Female,0-4 years,296.89
2018-06,Arrivals,Female,0-4 years,323.224
2018-07,Arrivals,Female,0-4 years,322.588
2018-08,Arrivals,Female,0-4 years,415.018
2018-09,Arrivals,Female,0-4 years,392.044
2018-10,Arrivals,Female,0-4 years,403.24
2018-11,Arrivals,Female,0-4 years,411.26
2018-12,Arrivals,Female,0-4 years,551.818
2019-01,Arrivals,Female,0-4 years,437.38
2019-02,Arrivals,Female,0-4 years,373.584
2019-03,Arrivals,Female,0-4 years,367.472
2019-04,Arrivals,Female,0-4 years,293.58
2017-12,Arrivals,Male,0-4 years,565
2018-01,Arrivals,Male,0-4 years,479
2018-02,Arrivals,Male,0-4 years,396.424
2018-03,Arrivals,Male,0-4 years,421.932
2018-04,Arrivals,Male,0-4 years,341.702
2018-05,Arrivals,Male,0-4 years,330.404
2018-06,Arrivals,Male,0-4 years,333.388
2018-07,Arrivals,Male,0-4 years,378.092
2018-08,Arrivals,Male,0-4 years,449.938
2018-09,Arrivals,Male,0-4 years,412.452
2018-10,Arrivals,Male,0-4 years,445.616
2018-11,Arrivals,Male,0-4 years,422.766
2018-12,Arrivals,Male,0-4 years,561.33
2019-01,Arrivals,Male,0-4 years,507.074
2019-02,Arrivals,Male,0-4 years,410.774
2019-03,Arrivals,Male,0-4 years,395.112
2019-04,Arrivals,Male,0-4 years,298.21
2017-12,Arrivals,Female,10-14 years,398
2018-01,Arrivals,Female,10-14 years,524.418
2018-02,Arrivals,Female,10-14 years,202.93
2018-03,Arrivals,Female,10-14 years,220.814
2018-04,Arrivals,Female,10-14 years,220.238
2018-05,Arrivals,Female,10-14 years,172.84
2018-06,Arrivals,Female,10-14 years,221.806
2018-07,Arrivals,Female,10-14 years,362.084
2018-08,Arrivals,Female,10-14 years,252.326
2018-09,Arrivals,Female,10-14 years,235.25
2018-10,Arrivals,Female,10-14 years,251.618
2018-11,Arrivals,Female,10-14 years,220.302
2018-12,Arrivals,Female,10-14 years,506.888
2019-01,Arrivals,Female,10-14 years,619.344
2019-02,Arrivals,Female,10-14 years,269.412
2019-03,Arrivals,Female,10-14 years,200.788
2019-04,Arrivals,Female,10-14 years,247.12
2017-12,Arrivals,Male,10-14 years,410
2018-01,Arrivals,Male,10-14 years,565.594
2018-02,Arrivals,Male,10-14 years,213.772
2018-03,Arrivals,Male,10-14 years,192.912
2018-04,Arrivals,Male,10-14 years,241.728
2018-05,Arrivals,Male,10-14 years,190.696
2018-06,Arrivals,Male,10-14 years,233.754
2018-07,Arrivals,Male,10-14 years,418.808
2018-08,Arrivals,Male,10-14 years,270.104
2018-09,Arrivals,Male,10-14 years,218.304
2018-10,Arrivals,Male,10-14 years,308.99
2018-11,Arrivals,Male,10-14 years,218.644
2018-12,Arrivals,Male,10-14 years,558.156
2019-01,Arrivals,Male,10-14 years,708.036
2019-02,Arrivals,Male,10-14 years,261.598
2019-03,Arrivals,Male,10-14 years,209.006
2019-04,Arrivals,Male,10-14 years,252.008
2017-12,Arrivals,Female,15-19 years,414
2018-01,Arrivals,Female,15-19 years,804.23
2018-02,Arrivals,Female,15-19 years,572.966
2018-03,Arrivals,Female,15-19 years,270.376
2018-04,Arrivals,Female,15-19 years,346.202
2018-05,Arrivals,Female,15-19 years,238.874
2018-06,Arrivals,Female,15-19 years,287.366
2018-07,Arrivals,Female,15-19 years,912.522
2018-08,Arrivals,Female,15-19 years,354.296
2018-09,Arrivals,Female,15-19 years,343.538
2018-10,Arrivals,Female,15-19 years,373.69
2018-11,Arrivals,Female,15-19 years,286.872
2018-12,Arrivals,Female,15-19 years,459.928
2019-01,Arrivals,Female,15-19 years,900.252
2019-02,Arrivals,Female,15-19 years,610.196
2019-03,Arrivals,Female,15-19 years,257.198
2019-04,Arrivals,Female,15-19 years,402.196
2017-12,Arrivals,Male,15-19 years,424
2018-01,Arrivals,Male,15-19 years,836.186
2018-02,Arrivals,Male,15-19 years,623.85
2018-03,Arrivals,Male,15-19 years,328.76
2018-04,Arrivals,Male,15-19 years,309.852
2018-05,Arrivals,Male,15-19 years,270.338
2018-06,Arrivals,Male,15-19 years,320.44
2018-07,Arrivals,Male,15-19 years,813.694
2018-08,Arrivals,Male,15-19 years,402.298
2018-09,Arrivals,Male,15-19 years,370.18
2018-10,Arrivals,Male,15-19 years,433.102
2018-11,Arrivals,Male,15-19 years,328.788
2018-12,Arrivals,Male,15-19 years,448.19
2019-01,Arrivals,Male,15-19 years,929.11
2019-02,Arrivals,Male,15-19 years,640.844
2019-03,Arrivals,Male,15-19 years,270.96
2019-04,Arrivals,Male,15-19 years,361.43
2017-12,Arrivals,Female,20-24 years,706
2018-01,Arrivals,Female,20-24 years,837.356
2018-02,Arrivals,Female,20-24 years,1354.5
2018-03,Arrivals,Female,20-24 years,789.256
2018-04,Arrivals,Female,20-24 years,589.432
2018-05,Arrivals,Female,20-24 years,711.26
2018-06,Arrivals,Female,20-24 years,730.828
2018-07,Arrivals,Female,20-24 years,1112.412
2018-08,Arrivals,Female,20-24 years,770.63
2018-09,Arrivals,Female,20-24 years,916.744
2018-10,Arrivals,Female,20-24 years,776.196
2018-11,Arrivals,Female,20-24 years,882.064
2018-12,Arrivals,Female,20-24 years,852.258
2019-01,Arrivals,Female,20-24 years,958.836
2019-02,Arrivals,Female,20-24 years,1471.488
2019-03,Arrivals,Female,20-24 years,768.656
2019-04,Arrivals,Female,20-24 years,585.092
2017-12,Arrivals,Male,20-24 years,673
2018-01,Arrivals,Male,20-24 years,822.628
2018-02,Arrivals,Male,20-24 years,1391.664
2018-03,Arrivals,Male,20-24 years,784.028
2018-04,Arrivals,Male,20-24 years,511.942
2018-05,Arrivals,Male,20-24 years,629.71
2018-06,Arrivals,Male,20-24 years,650.646
2018-07,Arrivals,Male,20-24 years,1159.932
2018-08,Arrivals,Male,20-24 years,704.43
2018-09,Arrivals,Male,20-24 years,814.122
2018-10,Arrivals,Male,20-24 years,759.812
2018-11,Arrivals,Male,20-24 years,819.186
2018-12,Arrivals,Male,20-24 years,692.412
2019-01,Arrivals,Male,20-24 years,824.894
2019-02,Arrivals,Male,20-24 years,1524.714
2019-03,Arrivals,Male,20-24 years,718.768
2019-04,Arrivals,Male,20-24 years,556.224
2017-12,Arrivals,Female,25-29 years,1259
2018-01,Arrivals,Female,25-29 years,1357.67
2018-02,Arrivals,Female,25-29 years,1392.304
2018-03,Arrivals,Female,25-29 years,1229.15
2018-04,Arrivals,Female,25-29 years,900.806
2018-05,Arrivals,Female,25-29 years,1042.184
2018-06,Arrivals,Female,25-29 years,990.708
2018-07,Arrivals,Female,25-29 years,1148.572
2018-08,Arrivals,Female,25-29 years,1147.688
2018-09,Arrivals,Female,25-29 years,1295.364
2018-10,Arrivals,Female,25-29 years,1359.9
2018-11,Arrivals,Female,25-29 years,1387.39
2018-12,Arrivals,Female,25-29 years,1330.466
2019-01,Arrivals,Female,25-29 years,1216.464
2019-02,Arrivals,Female,25-29 years,1338.998
2019-03,Arrivals,Female,25-29 years,1125.306
2019-04,Arrivals,Female,25-29 years,836.074
2017-12,Arrivals,Male,25-29 years,1054
2018-01,Arrivals,Male,25-29 years,1112.58
2018-02,Arrivals,Male,25-29 years,1300.648
2018-03,Arrivals,Male,25-29 years,1133.682
2018-04,Arrivals,Male,25-29 years,771.34
2018-05,Arrivals,Male,25-29 years,861.472
2018-06,Arrivals,Male,25-29 years,845.81
2018-07,Arrivals,Male,25-29 years,1117.164
2018-08,Arrivals,Male,25-29 years,1017.252
2018-09,Arrivals,Male,25-29 years,1103.63
2018-10,Arrivals,Male,25-29 years,1161.174
2018-11,Arrivals,Male,25-29 years,1298.104
2018-12,Arrivals,Male,25-29 years,1112.114
2019-01,Arrivals,Male,25-29 years,1112.658
2019-02,Arrivals,Male,25-29 years,1344.606
2019-03,Arrivals,Male,25-29 years,1040.45
2019-04,Arrivals,Male,25-29 years,774.934
2017-12,Arrivals,Female,30-34 years,874
2018-01,Arrivals,Female,30-34 years,848.216
2018-02,Arrivals,Female,30-34 years,842.122
2018-03,Arrivals,Female,30-34 years,773.488
2018-04,Arrivals,Female,30-34 years,594.686
2018-05,Arrivals,Female,30-34 years,601.83
2018-06,Arrivals,Female,30-34 years,645.488
2018-07,Arrivals,Female,30-34 years,714.074
2018-08,Arrivals,Female,30-34 years,738.576
2018-09,Arrivals,Female,30-34 years,786.414
2018-10,Arrivals,Female,30-34 years,818.798
2018-11,Arrivals,Female,30-34 years,886.398
2018-12,Arrivals,Female,30-34 years,984.618
2019-01,Arrivals,Female,30-34 years,918.574
2019-02,Arrivals,Female,30-34 years,862.54
2019-03,Arrivals,Female,30-34 years,755.966
2019-04,Arrivals,Female,30-34 years,592.044
2017-12,Arrivals,Male,30-34 years,796
2018-01,Arrivals,Male,30-34 years,878.074
2018-02,Arrivals,Male,30-34 years,900.534
2018-03,Arrivals,Male,30-34 years,870.8
2018-04,Arrivals,Male,30-34 years,640.676
2018-05,Arrivals,Male,30-34 years,704.782
2018-06,Arrivals,Male,30-34 years,720.16
2018-07,Arrivals,Male,30-34 years,824.052
2018-08,Arrivals,Male,30-34 years,845.054
2018-09,Arrivals,Male,30-34 years,859.204
2018-10,Arrivals,Male,30-34 years,937.73
2018-11,Arrivals,Male,30-34 years,987.41
2018-12,Arrivals,Male,30-34 years,951.19
2019-01,Arrivals,Male,30-34 years,926.55
2019-02,Arrivals,Male,30-34 years,980.844
2019-03,Arrivals,Male,30-34 years,863.216
2019-04,Arrivals,Male,30-34 years,619.564
2017-12,Arrivals,Female,35-39 years,582
2018-01,Arrivals,Female,35-39 years,606.742
2018-02,Arrivals,Female,35-39 years,431.578
2018-03,Arrivals,Female,35-39 years,469.742
2018-04,Arrivals,Female,35-39 years,360.352
2018-05,Arrivals,Female,35-39 years,363.874
2018-06,Arrivals,Female,35-39 years,383.888
2018-07,Arrivals,Female,35-39 years,503.472
2018-08,Arrivals,Female,35-39 years,474.95
2018-09,Arrivals,Female,35-39 years,516.61
2018-10,Arrivals,Female,35-39 years,554.15
2018-11,Arrivals,Female,35-39 years,539.878
2018-12,Arrivals,Female,35-39 years,678.872
2019-01,Arrivals,Female,35-39 years,659.224
2019-02,Arrivals,Female,35-39 years,523.73
2019-03,Arrivals,Female,35-39 years,485.746
2019-04,Arrivals,Female,35-39 years,393.602
2017-12,Arrivals,Male,35-39 years,595
2018-01,Arrivals,Male,35-39 years,664.602
2018-02,Arrivals,Male,35-39 years,629.976
2018-03,Arrivals,Male,35-39 years,568.856
2018-04,Arrivals,Male,35-39 years,446.91
2018-05,Arrivals,Male,35-39 years,497.784
2018-06,Arrivals,Male,35-39 years,516.826
2018-07,Arrivals,Male,35-39 years,581.844
2018-08,Arrivals,Male,35-39 years,678.216
2018-09,Arrivals,Male,35-39 years,587.112
2018-10,Arrivals,Male,35-39 years,674.772
2018-11,Arrivals,Male,35-39 years,686.142
2018-12,Arrivals,Male,35-39 years,696.546
2019-01,Arrivals,Male,35-39 years,737.744
2019-02,Arrivals,Male,35-39 years,684.216
2019-03,Arrivals,Male,35-39 years,633.306
2019-04,Arrivals,Male,35-39 years,462.428
2017-12,Arrivals,Female,40-44 years,407
2018-01,Arrivals,Female,40-44 years,441.986
2018-02,Arrivals,Female,40-44 years,266.466
2018-03,Arrivals,Female,40-44 years,259.188
2018-04,Arrivals,Female,40-44 years,247.948
2018-05,Arrivals,Female,40-44 years,239.254
2018-06,Arrivals,Female,40-44 years,263.81
2018-07,Arrivals,Female,40-44 years,375.44
2018-08,Arrivals,Female,40-44 years,308.764
2018-09,Arrivals,Female,40-44 years,282.732
2018-10,Arrivals,Female,40-44 years,355.474
2018-11,Arrivals,Female,40-44 years,334.378
2018-12,Arrivals,Female,40-44 years,505.966
2019-01,Arrivals,Female,40-44 years,499.208
2019-02,Arrivals,Female,40-44 years,326.778
2019-03,Arrivals,Female,40-44 years,306.316
2019-04,Arrivals,Female,40-44 years,237.062
2017-12,Arrivals,Male,40-44 years,366
2018-01,Arrivals,Male,40-44 years,494.456
2018-02,Arrivals,Male,40-44 years,416.742
2018-03,Arrivals,Male,40-44 years,364.94
2018-04,Arrivals,Male,40-44 years,297.162
2018-05,Arrivals,Male,40-44 years,385.458
2018-06,Arrivals,Male,40-44 years,364.424
2018-07,Arrivals,Male,40-44 years,443.752
2018-08,Arrivals,Male,40-44 years,469.878
2018-09,Arrivals,Male,40-44 years,493.526
2018-10,Arrivals,Male,40-44 years,460.862
2018-11,Arrivals,Male,40-44 years,517.164
2018-12,Arrivals,Male,40-44 years,516.004
2019-01,Arrivals,Male,40-44 years,527.408
2019-02,Arrivals,Male,40-44 years,466.158
2019-03,Arrivals,Male,40-44 years,394.364
2019-04,Arrivals,Male,40-44 years,310.484
2017-12,Arrivals,Female,45-49 years,293
2018-01,Arrivals,Female,45-49 years,292.52
2018-02,Arrivals,Female,45-49 years,178.322
2018-03,Arrivals,Female,45-49 years,168.638
2018-04,Arrivals,Female,45-49 years,185.754
2018-05,Arrivals,Female,45-49 years,176.264
2018-06,Arrivals,Female,45-49 years,171.094
2018-07,Arrivals,Female,45-49 years,237.196
2018-08,Arrivals,Female,45-49 years,197.832
2018-09,Arrivals,Female,45-49 years,192.042
2018-10,Arrivals,Female,45-49 years,257.824
2018-11,Arrivals,Female,45-49 years,246.822
2018-12,Arrivals,Female,45-49 years,394.232
2019-01,Arrivals,Female,45-49 years,339.686
2019-02,Arrivals,Female,45-49 years,227.542
2019-03,Arrivals,Female,45-49 years,222.156
2019-04,Arrivals,Female,45-49 years,198.068
2017-12,Arrivals,Male,45-49 years,258
2018-01,Arrivals,Male,45-49 years,307.878
2018-02,Arrivals,Male,45-49 years,254.378
2018-03,Arrivals,Male,45-49 years,259.756
2018-04,Arrivals,Male,45-49 years,210.952
2018-05,Arrivals,Male,45-49 years,236.026
2018-06,Arrivals,Male,45-49 years,242.63
2018-07,Arrivals,Male,45-49 years,310.508
2018-08,Arrivals,Male,45-49 years,283.992
2018-09,Arrivals,Male,45-49 years,319.784
2018-10,Arrivals,Male,45-49 years,340.652
2018-11,Arrivals,Male,45-49 years,357.058
2018-12,Arrivals,Male,45-49 years,417.892
2019-01,Arrivals,Male,45-49 years,385.032
2019-02,Arrivals,Male,45-49 years,304.246
2019-03,Arrivals,Male,45-49 years,292.028
2019-04,Arrivals,Male,45-49 years,237.572
2017-12,Arrivals,Female,50-54 years,208
2018-01,Arrivals,Female,50-54 years,193.054
2018-02,Arrivals,Female,50-54 years,128.898
2018-03,Arrivals,Female,50-54 years,134.862
2018-04,Arrivals,Female,50-54 years,112.83
2018-05,Arrivals,Female,50-54 years,144.53
2018-06,Arrivals,Female,50-54 years,145.344
2018-07,Arrivals,Female,50-54 years,169.37
2018-08,Arrivals,Female,50-54 years,145.96
2018-09,Arrivals,Female,50-54 years,166.018
2018-10,Arrivals,Female,50-54 years,205.994
2018-11,Arrivals,Female,50-54 years,234.06
2018-12,Arrivals,Female,50-54 years,294.498
2019-01,Arrivals,Female,50-54 years,242.044
2019-02,Arrivals,Female,50-54 years,187.436
2019-03,Arrivals,Female,50-54 years,166.834
2019-04,Arrivals,Female,50-54 years,137.614
2017-12,Arrivals,Male,50-54 years,228
2018-01,Arrivals,Male,50-54 years,185.974
2018-02,Arrivals,Male,50-54 years,162.03
2018-03,Arrivals,Male,50-54 years,163.686
2018-04,Arrivals,Male,50-54 years,138.192
2018-05,Arrivals,Male,50-54 years,154.142
2018-06,Arrivals,Male,50-54 years,137.612
2018-07,Arrivals,Male,50-54 years,166.58
2018-08,Arrivals,Male,50-54 years,200.022
2018-09,Arrivals,Male,50-54 years,171.778
2018-10,Arrivals,Male,50-54 years,224.06
2018-11,Arrivals,Male,50-54 years,257.504
2018-12,Arrivals,Male,50-54 years,293.662
2019-01,Arrivals,Male,50-54 years,213.458
2019-02,Arrivals,Male,50-54 years,178.866
2019-03,Arrivals,Male,50-54 years,175.726
2019-04,Arrivals,Male,50-54 years,135.89
2017-12,Arrivals,Female,55-59 years,226
2018-01,Arrivals,Female,55-59 years,153.654
2018-02,Arrivals,Female,55-59 years,126.236
2018-03,Arrivals,Female,55-59 years,159.97
2018-04,Arrivals,Female,55-59 years,135.57
2018-05,Arrivals,Female,55-59 years,158.42
2018-06,Arrivals,Female,55-59 years,146.072
2018-07,Arrivals,Female,55-59 years,154.286
2018-08,Arrivals,Female,55-59 years,167.58
2018-09,Arrivals,Female,55-59 years,174.53
2018-10,Arrivals,Female,55-59 years,213.758
2018-11,Arrivals,Female,55-59 years,248.478
2018-12,Arrivals,Female,55-59 years,297.882
2019-01,Arrivals,Female,55-59 years,200.254
2019-02,Arrivals,Female,55-59 years,188.962
2019-03,Arrivals,Female,55-59 years,185.214
2019-04,Arrivals,Female,55-59 years,141.264
2017-12,Arrivals,Male,55-59 years,193
2018-01,Arrivals,Male,55-59 years,146.832
2018-02,Arrivals,Male,55-59 years,128.444
2018-03,Arrivals,Male,55-59 years,145.766
2018-04,Arrivals,Male,55-59 years,112.508
2018-05,Arrivals,Male,55-59 years,135.058
2018-06,Arrivals,Male,55-59 years,119.348
2018-07,Arrivals,Male,55-59 years,137.988
2018-08,Arrivals,Male,55-59 years,143.906
2018-09,Arrivals,Male,55-59 years,153.062
2018-10,Arrivals,Male,55-59 years,186.036
2018-11,Arrivals,Male,55-59 years,240.15
2018-12,Arrivals,Male,55-59 years,247.642
2019-01,Arrivals,Male,55-59 years,179.616
2019-02,Arrivals,Male,55-59 years,167.604
2019-03,Arrivals,Male,55-59 years,150.962
2019-04,Arrivals,Male,55-59 years,128.744
2017-12,Arrivals,Female,60-64 years,198
2018-01,Arrivals,Female,60-64 years,129.768
2018-02,Arrivals,Female,60-64 years,109.328
2018-03,Arrivals,Female,60-64 years,160.318
2018-04,Arrivals,Female,60-64 years,134.148
2018-05,Arrivals,Female,60-64 years,137.744
2018-06,Arrivals,Female,60-64 years,133.694
2018-07,Arrivals,Female,60-64 years,135.392
2018-08,Arrivals,Female,60-64 years,143.624
2018-09,Arrivals,Female,60-64 years,172.662
2018-10,Arrivals,Female,60-64 years,223.09
2018-11,Arrivals,Female,60-64 years,252.144
2018-12,Arrivals,Female,60-64 years,259.428
2019-01,Arrivals,Female,60-64 years,184.206
2019-02,Arrivals,Female,60-64 years,161.844
2019-03,Arrivals,Female,60-64 years,171.854
2019-04,Arrivals,Female,60-64 years,130.928
2017-12,Arrivals,Male,60-64 years,186
2018-01,Arrivals,Male,60-64 years,100.778
2018-02,Arrivals,Male,60-64 years,114.934
2018-03,Arrivals,Male,60-64 years,135.802
2018-04,Arrivals,Male,60-64 years,111.844
2018-05,Arrivals,Male,60-64 years,128.916
2018-06,Arrivals,Male,60-64 years,115.94
2018-07,Arrivals,Male,60-64 years,125.944
2018-08,Arrivals,Male,60-64 years,126.814
2018-09,Arrivals,Male,60-64 years,152.906
2018-10,Arrivals,Male,60-64 years,187.126
2018-11,Arrivals,Male,60-64 years,225.372
2018-12,Arrivals,Male,60-64 years,247.426
2019-01,Arrivals,Male,60-64 years,160.084
2019-02,Arrivals,Male,60-64 years,151.35
2019-03,Arrivals,Male,60-64 years,148.062
2019-04,Arrivals,Male,60-64 years,113.3
2017-12,Arrivals,Female,65-69 years,107
2018-01,Arrivals,Female,65-69 years,76.554
2018-02,Arrivals,Female,65-69 years,64.346
2018-03,Arrivals,Female,65-69 years,80.768
2018-04,Arrivals,Female,65-69 years,61.372
2018-05,Arrivals,Female,65-69 years,79.698
2018-06,Arrivals,Female,65-69 years,70.128
2018-07,Arrivals,Female,65-69 years,74.294
2018-08,Arrivals,Female,65-69 years,74.576
2018-09,Arrivals,Female,65-69 years,112.14
2018-10,Arrivals,Female,65-69 years,138.992
2018-11,Arrivals,Female,65-69 years,172.638
2018-12,Arrivals,Female,65-69 years,174.442
2019-01,Arrivals,Female,65-69 years,104.726
2019-02,Arrivals,Female,65-69 years,103.186
2019-03,Arrivals,Female,65-69 years,112.702
2019-04,Arrivals,Female,65-69 years,79.878
2017-12,Arrivals,Male,65-69 years,145
2018-01,Arrivals,Male,65-69 years,80.674
2018-02,Arrivals,Male,65-69 years,61.454
2018-03,Arrivals,Male,65-69 years,80.244
2018-04,Arrivals,Male,65-69 years,75.242
2018-05,Arrivals,Male,65-69 years,78.458
2018-06,Arrivals,Male,65-69 years,85.726
2018-07,Arrivals,Male,65-69 years,82.028
2018-08,Arrivals,Male,65-69 years,92.602
2018-09,Arrivals,Male,65-69 years,106.9
2018-10,Arrivals,Male,65-69 years,153.4
2018-11,Arrivals,Male,65-69 years,179.914
2018-12,Arrivals,Male,65-69 years,170.996
2019-01,Arrivals,Male,65-69 years,109.276
2019-02,Arrivals,Male,65-69 years,102.886
2019-03,Arrivals,Male,65-69 years,108.508
2019-04,Arrivals,Male,65-69 years,85.684
2017-12,Arrivals,Female,70-74 years,61
2018-01,Arrivals,Female,70-74 years,53.624
2018-02,Arrivals,Female,70-74 years,33.566
2018-03,Arrivals,Female,70-74 years,28.32
2018-04,Arrivals,Female,70-74 years,38.296
2018-05,Arrivals,Female,70-74 years,35.466
2018-06,Arrivals,Female,70-74 years,29.304
2018-07,Arrivals,Female,70-74 years,31.642
2018-08,Arrivals,Female,70-74 years,39.74
